importId;partnerTypeSelect;isContact;isCustomer;isSupplier;isEmployee;name;firstName;titleSelect;languageCode;address;email;fixedPhone;mobilePhone;invoiceSendingFormatSelect;paymentMode.importId;paymentCondition.importId;partnerCategory.code;currency.code;blocking.importId;rejectCounter;companySet_importId;customerAccount_code;supplierAccount_code;mainPartner_importId;customerTypeSelect;supplierTypeSelect;industrySector.importId;user.importId;team.importId;source.id;fiscalPosition.importId;picture_fileName;invoicesCopySelect
225;2;TRUE;FALSE;FALSE;FALSE;BANKOLE;Charles;1;en;229;c.bankole@wm-cinetics.com;+229 23 45 74 89;+229 66 48 78 49;;;;;;;;1;;;224;;;;;;;;img//partner/1033_128px.png;1
237;1;FALSE;TRUE;TRUE;FALSE;TGM Consulting;;;fr;229;info@tgm-consulting.com;+229 23 43 56 78;+229 90 74 46 78;emailpaper;8;5;SME;XOF;;;1;411100;401100;;1;2;13;8;3;7;2;img//partner/237_128px.png;2
238;2;TRUE;FALSE;FALSE;FALSE;KPETERE;Kenneth;1;en;229;k.kpetere@tgm-consulting.com;+229 23 43 56 88;+229 95 64 78 90;;;;;;;;1;;;237;;;;;;;;img//partner/1033_128px.png;1
239;2;TRUE;FALSE;FALSE;FALSE;ADDA;Steven;1;en;229;s.adda@tgm-consulting.com;+229 23 00 98 78;+229 94 56 78 00;;;;;;;;1;;;237;;;;;;;;img//partner/1033_128px.png;2
240;2;TRUE;FALSE;FALSE;FALSE;ADAMBI;Edward;1;en;229;e.adambi@tgm-consulting.com;+229 23 43 45 67;+229 95 64 78 90;;;;;;;;1;;;237;;;;;;;;img//partner/1033_128px.png;1
1012;2;FALSE;TRUE;TRUE;FALSE;M'PO;Georges;2;fr;229;g.mpo@msn.com;+229 23 09 89 66;+229 96 54 78 90;email;4;2;INDIV;XOF;;;1;411100;401100;;2;;;9;1;8;;img//partner/1012_128px.png;2
1033;2;FALSE;TRUE;TRUE;FALSE;GNAMOU;Philippe;1;fr;229;p.gnamou@yahoo.com;+229 23 43 56 78;+229 96 35 67 63 ;email;5;2;INDIV;XOF;;;1;411100;401100;;2;;;8;3;9;;img//partner/1033_128px.png;1
1039;2;FALSE;TRUE;TRUE;FALSE;TAMOU;Sandra;2;en;229;s.tamou@yahoo.com;+229 23 34 35 67 ;+229 96 67 84 90;email;8;5;INDIV;XOF;;;1;411100;401100;;2;;;13;3;12;2;img//partner/1039_128px.png;2
1045;2;FALSE;TRUE;TRUE;FALSE;PADONOU;Laura;2;en;229;l.padonou@msn.com;+229 23 43 56 87;+229 96 67 88 04;email;8;5;INDIV;XOF;;;1;411100;401100;;2;;;13;3;11;2;img//partner/1045_128px.png;1
90000;1;FALSE;TRUE;TRUE;FALSE;KONTA;;;fr;229;hello@konta.xyz;+229 23 43 60 98;+229 96 45 67 48;emailpaper;6;6;SME;XOF;;;1;411100;401100;;1;1;;;;;;img//partner/90000_128px.png;2
90001;2;TRUE;FALSE;FALSE;TRUE;AVALLA;Urbain;1;fr;229;u.avalla@konta.xyz;+229 23 41 12 34;+229 97 78 98 89;;;;;;;;1;;;90000;;;;;;;;img//partner/1033_128px.png;1
90002;2;TRUE;FALSE;FALSE;TRUE;HODE;Luc;2;fr;229;l.hode@konta.xyz;+229 23 41 32 56;+229 95 46 78 94;;;;;;;;1;;;90000;;;;;;;;img//partner/1012_128px.png;2
90003;2;TRUE;FALSE;FALSE;TRUE;DJATCHI;Damien;1;fr;229;d.djatchi@konta.xyz;+229 23 14 56 78 ;+229 95 46 74 90;;;;;;;;1;;;90000;;;;;;;;img//partner/1033_128px.png;1
90004;2;TRUE;FALSE;FALSE;TRUE;SONOU;Daniel;1;fr;229;d.sonou@konta.xyz;+229 23 43 56 67;+229 94 36 37 89;;;;;;;;1;;;90000;;;;;;;;img//partner/1033_128px.png;2
90005;2;TRUE;FALSE;FALSE;TRUE;Da-COSTA;Charles;1;fr;229;c.dacosta@konta.xyz;+229 23 00 99 88;+229 97 89 09 87;;;;;;;;1;;;90000;;;;;;;;img//partner/1033_128px.png;1
90006;2;TRUE;FALSE;FALSE;TRUE;BOUKARY;Kevin;1;fr;229;k.boukary@konta.xyz;+229 23 42 56 54 ;+229 96 35 63 78;;;;;;;;1;;;90000;;;;;;;;img//partner/1033_128px.png;2
90007;2;TRUE;FALSE;FALSE;TRUE;DJARA;Charles;1;fr;229;c.djara@konta.xyz;+229 23 53 46 78;+229 96 37 83 90;;;;;;;;1;;;90000;;;;;;;;img//partner/1033_128px.png;1
90008;2;TRUE;FALSE;FALSE;TRUE;ZOUMAROU;Esther;1;fr;229;e.zoumarou@konta.xyz;+229 23 98 90 98;+229 97 36 78 39;;;;;;;;1;;;90000;;;;;;;;img//partner/1033_128px.png;2
90009;2;TRUE;FALSE;FALSE;TRUE;KORA;Thomas;1;fr;229;t.kora@konta.xyz;+229 23 15 61 35;+229 97 54 63 73;;;;;;;;1;;;90000;;;;;;;;img//partner/1033_128px.png;1
90010;2;TRUE;FALSE;FALSE;TRUE;YAYI;Pulchérie;2;fr;229;p.yayi@konta.xyz;+229 23 14 656 82 ;+229 96 75 89 90;;;;;;;;1;;;90000;;;;;;;;img//partner/1012_128px.png;2
90011;2;TRUE;FALSE;FALSE;TRUE;M'PO;Tantchonta;1;fr;229;t.mpo@konta.xyz;+229 23 91 80 43;+229 95 46 73 89;;;;;;;;1;;;90000;;;;;;;;img//partner/1033_128px.png;1
90012;2;TRUE;FALSE;FALSE;TRUE;KOUNOUDJI;Alex;1;fr;229;a.kounoudji@konta.xyz;+229 23 14 24 56;+229 96 46 73 89;;;;;;;;1;;;90000;;;;;;;;img//partner/1033_128px.png;2
90013;2;TRUE;FALSE;FALSE;TRUE;ZINSOU;William;1;fr;229;w.zinsou@konta.xyz;+229 23 41 52 67 ;+229 96 45 63 78;;;;;;;;1;;;90000;;;;;;;;img//partner/1033_128px.png;1
90014;2;TRUE;FALSE;FALSE;TRUE;ELEGBE;David;1;fr;229;d.elegbe@konta.xyz;+229 23 43 53 63;+229 97 67 84 63;;;;;;;;1;;;90000;;;;;;;;img//partner/1033_128px.png;2
90015;2;TRUE;FALSE;FALSE;TRUE;ADJAVON ;Cyril;1;fr;229;c.adjavon@konta.xyz;+229 23 41 09 89;+229 94 63 66 90;;;;;;;;1;;;90000;;;;;;;;img//partner/1033_128px.png;1
90016;2;TRUE;FALSE;FALSE;TRUE;BASSAOU;Rufin;1;fr;229;r.bassaou@konta.xyz;+229 23 42 56 27;+229 95 46 78 09;;;;;;;;1;;;90000;;;;;;;;img//partner/1033_128px.png;2
90017;2;TRUE;FALSE;FALSE;TRUE;AITCHEDJI;Grace;2;fr;229;g.aitchedji@konta.xyz;+229 23 41 45 16 ;+229 95 46 78 43;;;;;;;;1;;;90000;;;;;;;;img//partner/1012_128px.png;1
90018;2;TRUE;FALSE;FALSE;TRUE;AIVO;Victoria;2;fr;229;v.aivo@konta.xyz;+229 23 41 52 09;+229 99 88 77 55;;;;;;;;1;;;90000;;;;;;;;img//partner/1012_128px.png;2
90019;2;TRUE;FALSE;FALSE;FALSE;Admin;;2;fr;229;;+229 23 42 52 67;+229 95 67 46 53;;;;;;;;1;;;;;;;;;;;img/partner/1012_128px.png;2
90020;2;TRUE;FALSE;FALSE;FALSE;Demo;;2;fr;229;;+229 23 44 55 66;+229 97 46 78 98;;;;;;;;1;;;;;;;;;;;img/partner/1012_128px.png;2
90021;1;FALSE;FALSE;FALSE;FALSE;IFactor;IFactor;;fr;229;info@ifactor.com;+229 23 11 22 33;+229 95 74 89 46;emailpaper;8;6;SME;XOF;;;1;411100;401100;;3;1;22;11;2;7;;;
