"importId","partnerTypeSelect","isContact","isCustomer","isSupplier","isEmployee","isFactor","name","firstName","fullName","titleSelect","languageCode","address","email","fixedPhone","mobilePhone","invoiceSendingFormatSelect","paymentMode.importId","outPaymentMode.importId","paymentCondition.importId","partnerCategory.code","currency.code","blocking.importId","rejectCounter","companySet_importId","customerAccount_code","supplierAccount_code","mainPartner_importId","customerTypeSelect","supplierTypeSelect","industrySector.importId","user.importId","team.importId","source.id","fiscalPosition.importId","picture_fileName","invoicesCopySelect","factorizedCustomer"
77,1,"FALSE","TRUE","TRUE","FALSE","false","AMOUSSA Solutions COM",,"AMOUSSA Solutions COM	",,"fr",229,"contact@gerard-solutions.fr","+229 23 24 71 67","+229 64 56 47 00","emailpaper",8,15,2,"SME","XOF",,,1,411100,401100,,2,1,4,12,2,12,,"img//partner/77_128px.png",1,
78,2,"TRUE","FALSE","FALSE","FALSE","false","Da-SILVA","Fabrice","Da-SILVA	Fabrice",1,"fr",229,"f.gerard@gerard-solutions.fr","+229 23 00 98 78","+229 64 34 56 78",,,14,,,,,,1,,,77,,,,,,,,"img//partner/1033_128px.png",2,
79,2,"TRUE","FALSE","FALSE","FALSE","false","MISSIMAOU","Marie","MISSIMAOU	Marie",1,"fr",229,"x.nguyen@gerard-solutions.fr","+229 23 52 56 98","+229 90 88 78 64",,,14,,,,,,1,,,77,,,,,,,,"img//partner/1033_128px.png",1,
88,1,"FALSE","TRUE","TRUE","FALSE","false","123 Services",,"123 Services	",,"fr",229,"contact@123-services.fr","+229 23 42 87 78","+229 66 47 89 64","emailpaper",6,14,2,"SME","XOF",,,1,411100,401100,,3,2,7,9,1,1,,"img//partner/88_120px.png",2,"true"
89,2,"TRUE","FALSE","FALSE","FALSE","false","SODJAN","Amelia","SODJAN	Amelia",1,"fr",229,"j.roger@123-services.fr","+229 23 42 56 89","+229 66 78 89 04",,,14,,,,,,1,,,88,,,,,,,,"img//partner/1033_128px.png",1,
90,2,"TRUE","FALSE","FALSE","FALSE","false","PADONOU","Dominique","PADONOU	Dominique",1,"fr",229,"d.roche@123-services.fr","+229 23 42 56 89","+229 66 45 67 84",,,14,,,,,,1,,,88,,,,,,,,"img//partner/1033_128px.png",2,
91,2,"TRUE","FALSE","FALSE","FALSE","false","LEGBA","Thierry","LEGBA	Thierry",1,"fr",229,"t.roy@123-services.fr","+229 23 54 67 87","+229 66 56 74 89",,,14,,,,,,1,,,88,,,,,,,,"img//partner/1033_128px.png",1,
132,1,"FALSE","TRUE","TRUE","FALSE","false","BIDI INDUSTRIES",,"BIDI INDUSTRIES	",,"fr",229,"info@bourgeois-industries.fr","+229 23 43 56 87","+229 65 54 67 53","emailpaper",6,14,2,"SME","XOF",,,1,411100,401100,,2,1,17,8,3,2,,"img//partner/132_120px.png",2,
133,2,"TRUE","FALSE","FALSE","FALSE","false","BOSSOU","Luc","BOSSOU	Luc",1,"fr",229,"l.bourgeois@bourgeois-industries.fr","+229 23 45 78 09","+229 97 56 78 64",,,14,,,,,,1,,,132,,,,,,,,"img//partner/1033_128px.png",1,
134,2,"TRUE","FALSE","FALSE","FALSE","false","VLAVONOU","Marc","VLAVONOU	Marc",2,"fr",229,"z.arafi@bourgeois-industries.fr","+229 23 54 77 90","+229 96 46 67 04",,,14,,,,,,1,,,132,,,,,,,,"img//partner/1012_128px.png",2,
135,2,"TRUE","FALSE","FALSE","FALSE","false","ASSOGBA","Jean Nicolas","ASSOGBA	Jean Nicolas",1,"fr",229,"j.charles@bourgeois-industries.fr","+229 23 43 56 78","+229 97 56 78 46",,,14,,,,,,1,,,132,,,,,,,,"img//partner/1033_128px.png",1,
136,1,"FALSE","TRUE","TRUE","FALSE","false","ESL Banking",,"ESL Banking	",,"fr",229,"contact@esl-banking.fr","+331.38.33.50.99",,"emailpaper",6,14,2,"SME","EUR",,,1,411100,401100,,2,1,2,8,3,5,,"img//partner/136_120px.png",2,
137,2,"TRUE","FALSE","FALSE","FALSE","false","GUILLOT","Kevin","GUILLOT	Kevin",1,"fr",229,"k.guillot@esl-banking.fr","+331.73.34.26.99","+336.63.55.39.99",,,14,,,,,,1,,,136,,,,,,,,"img//partner/1033_128px.png",1,
138,2,"TRUE","FALSE","FALSE","FALSE","false","NOEL","Joel","NOEL	Joel",1,"fr",229,"j.noel@esl-banking.fr","+331.13.96.92.99","+337.44.77.73.99",,,14,,,,,,1,,,136,,,,,,,,"img//partner/1033_128px.png",2,
139,2,"TRUE","FALSE","FALSE","FALSE","false","MEUNIER","Patrick","MEUNIER	Patrick",1,"fr",229,"p.meunier@esl-banking.fr","+331.22.82.15.99","+337.67.21.50.99",,,14,,,,,,1,,,136,,,,,,,,"img//partner/1033_128px.png",1,
148,1,"FALSE","TRUE","TRUE","FALSE","false","TOP Components",,"TOP Components	",,"en",229,"contact@top-components.com","+229 23 14 56 41 ","+229 65 64 89 09","emailpaper",8,15,5,"SME","EUR",,,1,411100,401100,,1,2,9,,,5,2,"img//partner/148_128px.png",2,
149,2,"TRUE","FALSE","FALSE","FALSE","false","ZOKOU","Ulrich","ZOKOU	Ulrich",2,"en",229,"a.zhang@top-components.com","+229 23 41 34 56 ","+229 65 53 87 90",,,15,,,,,,1,,,148,,,,,,,,"img//partner/1012_128px.png",1,"true"
152,1,"FALSE","TRUE","TRUE","FALSE","false","SILVER Electronics",,"SILVER Electronics	",,"en",229,"contact@silverelec.com","+229 23 84 78 09","+229 66 76 56 78","emailpaper",8,15,5,"SME","XOF",,,1,411100,401100,,1,2,9,,,2,2,"img//partner/152_128px.png",2,
153,2,"TRUE","FALSE","FALSE","FALSE","false","KOUKPAKI","Paul","KOUKPAKI	Paul",1,"en",229,"y.li@silverelec.com","+229 23 45 00 98","+229 66 56 78 90",,,15,,,,,,1,,,152,,,,,,,,"img//partner/1033_128px.png",1,
170,1,"FALSE","TRUE","TRUE","FALSE","false","SASAKI CORPORATE SARL",,"SASAKI CORPORATE SARL	",,"en",229,"info@sasaki-components.com","+229 23 53 67 89","+229 63 52 56 78","emailpaper",8,15,5,"SME","XOF",,,1,411100,401100,,1,2,16,,,12,2,"img//partner/170_128px.png",2,
171,2,"TRUE","FALSE","FALSE","FALSE","false","SASAKI","Alain","SASAKI	Alain",1,"en",229,"a.sasaki@sasaki-components.com","+229 23 43 56 89","+229 64 53 67 90",,,15,,,,,,1,,,170,,,,,,,,"img//partner/1012_128px.png",1,
185,1,"FALSE","TRUE","TRUE","FALSE","false","ETS DEKIMPE Engineering",,"ETS DEKIMPE Engineering	",,"en",229,"contact@dekimpe-eng.com","+229 23 43 53 67","+229 64 35 67 89","emailpaper",8,15,5,"SME","XOF",,,1,411100,401100,,1,2,3,,,8,1,"img//partner/185_120px.png",2,
186,2,"TRUE","FALSE","FALSE","FALSE","false","KOUSSAKOU","Jules","KOUSSAKOU	Jules",1,"en",229,"j.de kimpe@dekimpe-eng.com","+229 23 43 56 78","+229 66 09 90 48",,,15,,,,,,1,,,185,,,,,,,,"img//partner/1033_128px.png",1,
197,1,"FALSE","TRUE","TRUE","FALSE","false","DG Technologies",,"DG Technologies	",,"en",229,"info@dg-technologies.com","+229 23 00 98 78","+229 66 54 67 78","emailpaper",8,15,5,"SME","EUR",,,1,411100,401100,,2,1,16,13,3,10,1,"img//partner/197_120px.png",2,
198,2,"TRUE","FALSE","FALSE","FALSE","false","TROUKOU","Marthe","TROUKOU	Marthe",1,"en",229,"m.de groot@dg-technologies.com","+229 23 41 54 67","+229 67 46 78 94",,,15,,,,,,1,,,197,,,,,,,,"img//partner/1033_128px.png",1,
205,1,"FALSE","TRUE","TRUE","FALSE","false","AZ Inno SARL",,"AZ Inno SARL	",,"en",229,"info@azinno.com","+229 23 53 44 57","+229 67 64 77 90","emailpaper",8,15,5,"SME","XOF",,,1,411100,401100,,2,1,7,13,3,1,1,"img//partner/205_120px.png",2,
206,2,"TRUE","FALSE","FALSE","FALSE","false","ISSA ","Dorcas","ISSA 	Dorcas",1,"en",229,"j.muller@azinno.com","+229 23 41 45 67","+229 67 46 73 89",,,15,,,,,,1,,,205,,,,,,,,"img//partner/1033_128px.png",1,
224,1,"FALSE","TRUE","TRUE","FALSE","false","ETS WM Cinetics",,"ETS WM Cinetics	",,"en",229,"contact@wm-cinetics.com","+229 23 04 90 90","+229 65 46 78 49","emailpaper",8,15,5,"SME","XOF",,,1,411100,401100,,2,1,17,13,3,6,2,"img//partner/224_128px.png",2,
225,2,"TRUE","FALSE","FALSE","FALSE","false","BANKOLE","Charles","BANKOLE	Charles",1,"en",229,"c.wilson@wm-cinetics.com","+229 23 45 74 89","+229 66 48 78 49",,,15,,,,,,1,,,224,,,,,,,,"img//partner/1033_128px.png",1,
237,1,"FALSE","TRUE","TRUE","FALSE","false","TGM Consulting",,"TGM Consulting	",,"fr",229,"info@tgm-consulting.com","+229 23 43 56 78","+229 90 74 46 78","emailpaper",8,15,5,"SME","XOF",,,1,411100,401100,,1,2,13,8,3,7,2,"img//partner/237_128px.png",2,
238,2,"TRUE","FALSE","FALSE","FALSE","false","KPETERE","Kenneth","KPETERE	Kenneth",1,"en",229,"k.thompson@tgm-consulting.com","+229 23 43 56 88","+229 95 64 78 90",,,15,,,,,,1,,,237,,,,,,,,"img//partner/1033_128px.png",1,
239,2,"TRUE","FALSE","FALSE","FALSE","false","ADDA","Steven","ADDA	Steven",1,"en",229,"s.garcia@tgm-consulting.com","+229 23 00 98 78","+229 94 56 78 00",,,15,,,,,,1,,,237,,,,,,,,"img//partner/1033_128px.png",2,
240,2,"TRUE","FALSE","FALSE","FALSE","false","ADAMBI","Edward","ADAMBI	Edward",1,"en",229,"e.martinez@tgm-consulting.com","+229 23 43 45 67","+229 95 64 78 90",,,15,,,,,,1,,,237,,,,,,,,"img//partner/1033_128px.png",1,"true"
1012,2,"FALSE","TRUE","TRUE","FALSE","false","M'PO","Georges","M'PO	Georges",2,"fr",229,"a.picard@msn.com","+229 23 09 89 66","+229 96 54 78 90","email",4,15,2,"INDIV","XOF",,,1,411100,401100,,2,,,9,1,8,,"img//partner/1012_128px.png",2,
1033,2,"FALSE","TRUE","TRUE","FALSE","false","GNAMOU","Philippe","GNAMOU	Philippe",1,"fr",229,"p.meyer@yahoo.com","+229 23 43 56 78","+229 96 35 67 63 ","email",5,15,2,"INDIV","XOF",,,1,411100,401100,,2,,,8,3,9,,"img//partner/1033_128px.png",1,
1039,2,"FALSE","TRUE","TRUE","FALSE","false","TAMOU","Sandra","TAMOU	Sandra",2,"en",229,"s.mitchell@yahoo.com","+229 23 34 35 67 ","+229 96 67 84 90","email",8,15,5,"INDIV","XOF",,,1,411100,401100,,2,,,13,3,12,2,"img//partner/1039_128px.png",2,
1045,2,"FALSE","TRUE","TRUE","FALSE","false","PADONOU","Laura","PADONOU	Laura",2,"en",229,"l.parker@msn.com","+229 23 43 56 87","+229 96 67 88 04","email",8,15,5,"INDIV","XOF",,,1,411100,401100,,2,,,13,3,11,2,"img//partner/1045_128px.png",1,
90000,1,"FALSE","TRUE","TRUE","FALSE","false","KONTA",,"KONTA	",,"fr",229,"info@axelor.com","+229 23 43 60 98","+229 96 45 67 48","emailpaper",6,15,6,"SME","XOF",,,1,411100,401100,,1,1,,,,,,"img//partner/90000_128px.png",2,
90001,2,"TRUE","FALSE","FALSE","TRUE","false","AVALLA","Urbain","AVALLA	Urbain",1,"fr",229,"y.marques@axelor.com","+229 23 41 12 34","+229 97 78 98 89",,,15,,,,,,1,,,90000,,,,,,,,"img//partner/1033_128px.png",1,
90002,2,"TRUE","FALSE","FALSE","TRUE","false","HODE","Luc","HODE	Luc",2,"fr",229,"l.robert@axelor.com","+229 23 41 32 56","+229 95 46 78 94",,,15,,,,,,1,,,90000,,,,,,,,"img//partner/1012_128px.png",2,
90003,2,"TRUE","FALSE","FALSE","TRUE","false","DJATCHI","Damien","DJATCHI	Damien",1,"fr",229,"l.richard@axelor.com","+229 23 14 56 78 ","+229 95 46 74 90",,,15,,,,,,1,,,90000,,,,,,,,"img//partner/1033_128px.png",1,
90004,2,"TRUE","FALSE","FALSE","TRUE","false","SONOU","Daniel","SONOU	Daniel",1,"fr",229,"d.silva@axelor.com","+229 23 43 56 67","+229 94 36 37 89",,,15,,,,,,1,,,90000,,,,,,,,"img//partner/1033_128px.png",2,
90005,2,"TRUE","FALSE","FALSE","TRUE","false","Da-COSTA","Charles","Da-COSTA	Charles",1,"fr",229,"c.martin@axelor.com","+229 23 00 99 88","+229 97 89 09 87",,,15,,,,,,1,,,90000,,,,,,,,"img//partner/1033_128px.png",1,
90006,2,"TRUE","FALSE","FALSE","TRUE","false","BOUKARY","Kevin","BOUKARY	Kevin",1,"fr",229,"k.demoerp@axelor.com","+229 23 42 56 54 ","+229 96 35 63 78",,,15,,,,,,1,,,90000,,,,,,,,"img//partner/1033_128px.png",2,
90007,2,"TRUE","FALSE","FALSE","TRUE","false","DJARA","Charles","DJARA	Charles",1,"fr",229,"c.democrm@axelor.com","+229 23 53 46 78","+229 96 37 83 90",,,15,,,,,,1,,,90000,,,,,,,,"img//partner/1033_128px.png",1,
90008,2,"TRUE","FALSE","FALSE","TRUE","false","ZOUMAROU","Esther","ZOUMAROU	Esther",1,"fr",229,"t.raymond@axelor.com","+229 23 98 90 98","+229 97 36 78 39",,,15,,,,,,1,,,90000,,,,,,,,"img//partner/1033_128px.png",2,
90009,2,"TRUE","FALSE","FALSE","TRUE","false","KORA","Thomas","KORA	Thomas",1,"fr",229,"t.lamy@axelor.com","+229 23 15 61 35","+229 97 54 63 73",,,15,,,,,,1,,,90000,,,,,,,,"img//partner/1033_128px.png",1,
90010,2,"TRUE","FALSE","FALSE","TRUE","false","YAYI","Pulchérie","YAYI	Pulchérie",2,"fr",229,"a.girault@axelor.com","+229 23 14 656 82 ","+229 96 75 89 90",,,15,,,,,,1,,,90000,,,,,,,,"img//partner/1012_128px.png",2,
90011,2,"TRUE","FALSE","FALSE","TRUE","false","M'PO","Tantchonta","M'PO	Tantchonta",1,"fr",229,"d.geoffroy@axelor.com","+229 23 91 80 43","+229 95 46 73 89",,,15,,,,,,1,,,90000,,,,,,,,"img//partner/1033_128px.png",1,
90012,2,"TRUE","FALSE","FALSE","TRUE","false","KOUNOUDJI","Alex","KOUNOUDJI	Alex",1,"fr",229,"a.david@axelor.com","+229 23 14 24 56","+229 96 46 73 89",,,15,,,,,,1,,,90000,,,,,,,,"img//partner/1033_128px.png",2,
90013,2,"TRUE","FALSE","FALSE","TRUE","false","ZINSOU","William","ZINSOU	William",1,"fr",229,"w.andre@axelor.com","+229 23 41 52 67 ","+229 96 45 63 78",,,15,,,,,,1,,,90000,,,,,,,,"img//partner/1033_128px.png",1,
90014,2,"TRUE","FALSE","FALSE","TRUE","false","ELEGBE","David","ELEGBE	David",1,"fr",229,"d.maurin@axelor.com","+229 23 43 53 63","+229 97 67 84 63",,,15,,,,,,1,,,90000,,,,,,,,"img//partner/1033_128px.png",2,
90015,2,"TRUE","FALSE","FALSE","TRUE","false","ADJAVON ","Cyril","ADJAVON 	Cyril",1,"fr",229,"c.marchal@axelor.com","+229 23 41 09 89","+229 94 63 66 90",,,15,,,,,,1,,,90000,,,,,,,,"img//partner/1033_128px.png",1,
90016,2,"TRUE","FALSE","FALSE","TRUE","false","BASSAOU","Rufin","BASSAOU	Rufin",1,"fr",229,"r.costa@axelor.com","+229 23 42 56 27","+229 95 46 78 09",,,15,,,,,,1,,,90000,,,,,,,,"img//partner/1033_128px.png",2,
90017,2,"TRUE","FALSE","FALSE","TRUE","false","AITCHEDJI","Grace","AITCHEDJI	Grace",2,"fr",229,"r.colin@axelor.com","+229 23 41 45 16 ","+229 95 46 78 43",,,15,,,,,,1,,,90000,,,,,,,,"img//partner/1012_128px.png",1,
90018,2,"TRUE","FALSE","FALSE","TRUE","false","AIVO","Victoria","AIVO	Victoria",2,"fr",229,"v.louis@axelor.com","+229 23 41 52 09","+229 99 88 77 55",,,15,,,,,,1,,,90000,,,,,,,,"img//partner/1012_128px.png",2,
90019,2,"TRUE","FALSE","FALSE","FALSE","false","Admin",,"Admin	",2,"fr",229,"info@ifactor.com","+229 23 42 52 67","+229 95 67 46 53",,,15,,,,,,1,411100,401100,,3,1,22,,2,7,,"img/partner/1012_128px.png",2,
90020,2,"TRUE","FALSE","FALSE","FALSE","false","Demo",,"Demo	",2,"fr",229,,"+229 23 44 55 66","+229 97 46 78 98",,,,,,,,,,,,,,,,,,,,"img/partner/1012_128px.png",2,
90021,1,"FALSE","FALSE","FALSE","FALSE","true","IFactor","IFactor","IFactor	IFactor",,"fr",229,,"+229 23 11 22 33","+229 95 74 89 46","emailpaper",8,,6,"SME","XOF",,,,,,,,,,,,,,,,
