"importId","titleSelect","enterpriseName","name","firstName","officeName","jobTitle","mobilePhone","fixedPhone","department","fax","website","primaryAddress","primaryPostalCode","primaryCity","primaryCountry.alpha3Code","email","description","contactDate","statusSelect","isRecycled","source.importId","statusDescription","sourceDescription","campaign.id","referredBy","isDoNotCall","partner.importId","userImportId","team.id"
23,2,"TAB Technologies","YAYI","Laurie",,"Gérant",62000016,21000016,,,,"6 BD GAMBETTA","06000","ALLADA","FRA","l.guilbert@tab-technologies.fr",,"TODAY[-14d]",3,"false",7,,,,,"false",,11,2
24,2,"SHELTON Media","M'PO","Vanessa",,"Consultant",62000017,21000017,,,,"67 RUE DES POSTES",59000,"KPOMASSE","FRA","v.gomez@shelton-media.fr",,"TODAY[-14d]",2,"false",6,,,,,"true",,9,1
25,2,"NKJ Technologies","KOUNOUDJI","Anna",,"Chef de projet",62000018,21000018,,,,"33 RUE SAINT-GENES",33000,"OUIDAH","FRA","a.gomes@nkj-technologies.fr",,"TODAY[-14d]",3,"true",7,,,,,"false",,11,2
26,2,"Oister Media","ZINSOU","Gaëlle",,"PDG",62000019,21000019,,,,"350 RUE DU MARECHAL JUIN",77000,"SO-AVA","FRA","g.vial@oistermedia.fr",,"TODAY[-14d]",3,"false",11,,,,,"true",,8,3
27,1,"S&S Conseil","ELEGBE","Maxence",,"Gérant",62000020,21000020,,,,"53 RUE DE COULMIERS",44000,"TOFFO","FRA","m.le-guen@ss-conseil.fr",,"TODAY[-14d]",3,"false",3,,,,,"false",,10,1
28,1,"CONNOLLY Solutions","ADJAVON ","Gael",,"PDG",62000021,21000021,,,,"11 RUE DE L'ARBRISSEAU",59000,"TORI-BOSSITO","FRA","g.billard@connolly-solutions.fr",,"TODAY[-7d]",2,"false",3,,,,,"true",,9,1
29,2,"GVS Services","BASSAOU","Amandine",,"Consultant",62000022,21000022,,,,"76 WARDOUR STREET","W1D 6Q4","ZE","FRA","a.guichard@gvs-services.co.uk",,"TODAY[-7d]",3,"false",6,,,,,"false",,8,3
30,1,"E&U Systems","AITCHEDJI","John",,"Consultant",62000023,21000023,,,,"1500 SOUTH BURNSIDE AVENUE","CA 90019","BEMBEREKE","FRA","j.pottier@eu-systems.com",,"TODAY[-7d]",5,"false",6,,,,,"true",,13,3
31,1,"IYT Services","AIVO","Florent",,"Chef de projet",62000024,21000024,,,,"30 AVENUE PAUL SANTY",69008,"KALALA","FRA","f.gay@iyt-services.fr",,"TODAY[-7d]",5,"false",3,,,,,"false",,11,2
32,2,"U&M Media","ADDA","Amandine",,"Responsable Achats",62000025,21000025,,,,"19 BD VICTOR HUGO",59000,"NDALI","FRA","a.mas@um-media.fr",,"TODAY",1,"false",3,,,,,"true",,,1
33,1,"JENSEN International","ADAMBI","Damien",,"Consultant",62000026,21000026,,,,"74 RUE BRUNET",13004,"NIKKI","FRA","d.chatelain@jensen-international.fr",,"TODAY",1,"false",11,,,,,"false",,,2
34,2,"ROWE Services","M'PO","Anna",,"PDG",62000027,21000027,,,,"88 BD ARISTIDE BRIAND",63000,"PARAKOU","FRA","a.favier@rowe-services.fr",,"TODAY",1,"false",6,,,,,"true",,,2
35,1,"KAY Consulting","GNAMOU","Eric",,"Consultant",62000028,21000028,,,,"9000 WEST OLYMPIC BD","CA 90212","PERERE","FRA","e.dupuis@kay-conseil.com",,"TODAY",1,"false",11,,,,,"false",,,3
36,2,"GRAY Technologies","TAMOU","Sarah",,"Consultant ",62000029,21000029,,,,"81 STREDFORD ROAD","M15 4ZY","SINENDE","FRA","s.le-gall@gray-technologies.co.uk",,"TODAY",1,"false",7,,,,,"true",,,3
